District,Year-Month,Total_Precipitation_mm,Mean_Temperature_C
Colombo,2022-10,408.50,25.78
Colombo,2022-11,272.80,25.30
Colombo,2022-12,198.60,25.32
Colombo,2023-01,85.90,25.18
Colombo,2023-02,67.30,25.61
Colombo,2023-03,141.20,26.44
Colombo,2023-04,138.20,27.35
Colombo,2023-05,238.30,27.35
Colombo,2023-06,379.30,27.04
Colombo,2023-07,250.10,26.92
Colombo,2023-08,149.60,27.04
Colombo,2023-09,554.60,26.02
Colombo,2023-10,564.40,25.61
Colombo,2023-11,488.60,25.54
Colombo,2023-12,410.40,25.89
Colombo,2024-01,138.10,26.01
Colombo,2024-02,38.30,27.56
Colombo,2024-03,79.90,28.08
Colombo,2024-04,177.20,28.16
Colombo,2024-05,656.30,27.74
Colombo,2024-06,95.70,26.95
Gampaha,2010-01,37.10,26.25
Gampaha,2010-02,42.20,27.80
Gampaha,2010-03,56.70,28.58
Gampaha,2010-04,266.60,27.42
Gampaha,2010-05,288.50,27.06
Gampaha,2010-06,358.70,26.54
Gampaha,2010-07,279.60,26.22
Gampaha,2010-08,224.60,26.01
Gampaha,2010-09,254.10,25.84
Gampaha,2010-10,281.50,25.95
Gampaha,2010-11,454.40,25.48
Gampaha,2010-12,392.70,24.75
Gampaha,2011-01,168.70,24.67
Gampaha,2011-02,113.30,25.46
Gampaha,2011-03,91.40,26.89
Gampaha,2011-04,217.40,26.58
Gampaha,2011-05,181.00,26.75
Gampaha,2011-06,164.80,26.65
Gampaha,2011-07,273.00,26.10
Gampaha,2011-08,255.70,26.00
Gampaha,2011-09,298.30,26.19
Gampaha,2011-10,317.60,26.14
Gampaha,2011-11,231.30,25.89
Gampaha,2011-12,166.90,25.47
Gampaha,2012-01,54.00,25.83
Gampaha,2012-02,155.80,26.45
Gampaha,2012-03,105.60,26.95
Gampaha,2012-04,147.00,26.84
Gampaha,2012-05,92.30,27.34
Gampaha,2012-06,197.00,26.37
Gampaha,2012-07,210.60,26.39
Gampaha,2012-08,258.00,26.06
Gampaha,2012-09,220.70,26.21
Gampaha,2012-10,430.70,25.98
Gampaha,2012-11,377.70,25.87
Gampaha,2012-12,172.80,25.59
Gampaha,2013-01,125.90,25.64
Gampaha,2013-02,100.90,26.54
Gampaha,2013-03,249.40,27.00
Gampaha,2013-04,90.00,27.67
Gampaha,2013-05,282.90,26.82
Gampaha,2013-06,421.10,25.77
Gampaha,2013-07,237.70,25.92
Gampaha,2013-08,149.20,26.07
Gampaha,2013-09,270.30,25.79
Gampaha,2013-10,305.70,25.97
Gampaha,2013-11,166.80,25.88
Gampaha,2013-12,84.10,25.44
Gampaha,2014-01,51.10,26.12
Gampaha,2014-02,10.90,27.89
Gampaha,2014-03,68.20,28.82
Gampaha,2014-04,253.10,27.22
Gampaha,2014-05,225.20,26.97
Gampaha,2014-06,172.00,26.97
Gampaha,2014-07,159.10,26.55
Gampaha,2014-08,247.00,26.03
Gampaha,2014-09,243.30,25.98
Gampaha,2014-10,480.90,25.76
Gampaha,2014-11,308.30,25.53
Gampaha,2014-12,471.40,25.12
Gampaha,2015-01,22.30,26.50
Gampaha,2015-02,72.20,26.94
Gampaha,2015-03,147.70,27.55
Gampaha,2015-04,265.10,27.02
Gampaha,2015-05,240.20,26.96
Gampaha,2015-06,235.30,26.74
Gampaha,2015-07,206.90,26.59
Gampaha,2015-08,153.60,26.52
Gampaha,2015-09,294.90,26.07
Gampaha,2015-10,681.20,26.01
Gampaha,2015-11,323.20,25.86
Gampaha,2015-12,285.30,26.18
Gampaha,2016-01,17.00,27.28
Gampaha,2016-02,38.10,28.45
Gampaha,2016-03,43.20,29.26
Gampaha,2016-04,104.80,28.95
Gampaha,2016-05,772.40,27.01
Gampaha,2016-06,226.40,26.72
Gampaha,2016-07,176.50,26.45
